"loc_id","bucket","running_total","sum","avg","max","min","province_state","country_region"
1,"2020-01-20 00:00:00+00",60,"60","12.0000000000000000",24,1,"Anhui","Mainland China"
1,"2020-01-27 00:00:00+00",340,"280","40.0000000000000000",60,10,"Anhui","Mainland China"
1,"2020-02-03 00:00:00+00",779,"439","62.7142857142857143",74,46,"Anhui","Mainland China"
1,"2020-02-10 00:00:00+00",962,"183","26.1428571428571429",51,12,"Anhui","Mainland China"
2,"2020-01-20 00:00:00+00",68,"68","13.6000000000000000",27,5,"Beijing","Mainland China"
2,"2020-01-27 00:00:00+00",191,"123","17.5714285714285714",29,3,"Beijing","Mainland China"
2,"2020-02-03 00:00:00+00",326,"135","19.2857142857142857",25,11,"Beijing","Mainland China"
2,"2020-02-10 00:00:00+00",380,"54","7.7142857142857143",14,3,"Beijing","Mainland China"
3,"2020-01-20 00:00:00+00",75,"75","15.0000000000000000",30,3,"Chongqing","Mainland China"
3,"2020-01-27 00:00:00+00",300,"225","32.1428571428571429",53,15,"Chongqing","Mainland China"
3,"2020-02-03 00:00:00+00",468,"168","24.0000000000000000",40,2,"Chongqing","Mainland China"
3,"2020-02-10 00:00:00+00",551,"83","11.8571428571428571",19,7,"Chongqing","Mainland China"
4,"2020-01-20 00:00:00+00",35,"35","7.0000000000000000",17,1,"Fujian","Mainland China"
4,"2020-01-27 00:00:00+00",159,"124","17.7142857142857143",24,4,"Fujian","Mainland China"
4,"2020-02-03 00:00:00+00",250,"91","13.0000000000000000",20,9,"Fujian","Mainland China"
4,"2020-02-10 00:00:00+00",287,"37","5.2857142857142857",11,2,"Fujian","Mainland China"
5,"2020-01-20 00:00:00+00",7,"7","1.4000000000000000",3,0,"Gansu","Mainland China"
5,"2020-01-27 00:00:00+00",51,"44","6.2857142857142857",11,2,"Gansu","Mainland China"
5,"2020-02-03 00:00:00+00",83,"32","4.5714285714285714",12,0,"Gansu","Mainland China"
5,"2020-02-10 00:00:00+00",90,"7","1.00000000000000000000",3,0,"Gansu","Mainland China"
6,"2020-01-20 00:00:00+00",111,"111","22.2000000000000000",33,6,"Guangdong","Mainland China"
6,"2020-01-27 00:00:00+00",632,"521","74.4285714285714286",99,40,"Guangdong","Mainland China"
6,"2020-02-03 00:00:00+00",1131,"499","71.2857142857142857",93,36,"Guangdong","Mainland China"
