loc_id,province_state,country_region,latitude,longitude,us_locality,us_state,us_county,continent,geocode-earthJSON
1,Anhui,Mainland China,31.8257,117.2264,,,,Asia,"{""geocoding"":{""version"":""0.2"",""attribution"":""https://geocode.earth/guidelines"",""query"":{""layers"":[""continent"",""empire"",""country"",""dependency"",""macroregion"",""region"",""locality"",""localadmin"",""macrocounty"",""county"",""macrohood"",""borough"",""neighbourhood"",""microhood"",""disputed"",""postalcode"",""ocean"",""marinearea""],""size"":10,""private"":false,""point.lat"":31.8257,""point.lon"":117.2264,""boundary.circle.lat"":31.8257,""boundary.circle.lon"":117.2264,""lang"":{""name"":""English"",""iso6391"":""en"",""iso6393"":""eng"",""defaulted"":true},""querySize"":20},""engine"":{""name"":""Pelias"",""author"":""Mapzen"",""version"":""1.0""},""timestamp"":1583412446858},""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[117.262639,31.84192]},""properties"":{""id"":""102027561"",""gid"":""whosonfirst:locality:102027561"",""layer"":""locality"",""source"":""whosonfirst"",""source_id"":""102027561"",""name"":""Hefei"",""confidence"":0.5,""distance"":3.874,""accuracy"":""centroid"",""country"":""China"",""country_gid"":""whosonfirst:country:85632695"",""country_a"":""CHN"",""region"":""Anhui"",""region_gid"":""whosonfirst:region:85669739"",""region_a"":""AH"",""county"":""Hefei"",""county_gid"":""whosonfirst:county:890513787"",""county_a"":""HF"",""locality"":""Hefei"",""locality_gid"":""whosonfirst:locality:102027561"",""continent"":""Asia"",""continent_gid"":""whosonfirst:continent:102191569"",""label"":""Hefei, China""},""bbox"":[117.164114466,31.7518447155,117.393997192,31.919226266]}],""bbox"":[117.164114466,31.7518447155,117.393997192,31.919226266]}"
2,Beijing,Mainland China,40.1824,116.4142,,,,Asia,"{""geocoding"":{""version"":""0.2"",""attribution"":""https://geocode.earth/guidelines"",""query"":{""layers"":[""continent"",""empire"",""country"",""dependency"",""macroregion"",""region"",""locality"",""localadmin"",""macrocounty"",""county"",""macrohood"",""borough"",""neighbourhood"",""microhood"",""disputed"",""postalcode"",""ocean"",""marinearea""],""size"":10,""private"":false,""point.lat"":40.1824,""point.lon"":116.4142,""boundary.circle.lat"":40.1824,""boundary.circle.lon"":116.4142,""lang"":{""name"":""English"",""iso6391"":""en"",""iso6393"":""eng"",""defaulted"":true},""querySize"":20},""engine"":{""name"":""Pelias"",""author"":""Mapzen"",""version"":""1.0""},""timestamp"":1583412447434},""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[116.412463,40.185174]},""properties"":{""id"":""85669727"",""gid"":""whosonfirst:region:85669727"",""layer"":""region"",""source"":""whosonfirst"",""source_id"":""85669727"",""name"":""Beijing"",""confidence"":0.6,""distance"":0.342,""accuracy"":""centroid"",""country"":""China"",""country_gid"":""whosonfirst:country:85632695"",""country_a"":""CHN"",""region"":""Beijing"",""region_gid"":""whosonfirst:region:85669727"",""region_a"":""BJ"",""continent"":""Asia"",""continent_gid"":""whosonfirst:continent:102191569"",""label"":""Beijing, China""},""bbox"":[115.419093513,39.4407363214,117.49701598,41.0584156807]}],""bbox"":[115.419093513,39.4407363214,117.49701598,41.0584156807]}"
3,Chongqing,Mainland China,30.0572,107.874,,,,Asia,"{""geocoding"":{""version"":""0.2"",""attribution"":""https://geocode.earth/guidelines"",""query"":{""layers"":[""continent"",""empire"",""country"",""dependency"",""macroregion"",""region"",""locality"",""localadmin"",""macrocounty"",""county"",""macrohood"",""borough"",""neighbourhood"",""microhood"",""disputed"",""postalcode"",""ocean"",""marinearea""],""size"":10,""private"":false,""point.lat"":30.0572,""point.lon"":107.874,""boundary.circle.lat"":30.0572,""boundary.circle.lon"":107.874,""lang"":{""name"":""English"",""iso6391"":""en"",""iso6393"":""eng"",""defaulted"":true},""querySize"":20},""engine"":{""name"":""Pelias"",""author"":""Mapzen"",""version"":""1.0""},""timestamp"":1583412447983},""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.87429,30.057177]},""properties"":{""id"":""890513063"",""gid"":""whosonfirst:county:890513063"",""layer"":""county"",""source"":""whosonfirst"",""source_id"":""890513063"",""name"":""Chongqing Shi"",""confidence"":0.8,""distance"":0.028,""accuracy"":""centroid"",""country"":""China"",""country_gid"":""whosonfirst:country:85632695"",""country_a"":""CHN"",""region"":""Chongqing"",""region_gid"":""whosonfirst:region:85669725"",""region_a"":""CQ"",""county"":""Chongqing Shi"",""county_gid"":""whosonfirst:county:890513063"",""county_a"":""CQ"",""continent"":""Asia"",""continent_gid"":""whosonfirst:continent:102191569"",""label"":""Chongqing Shi, China""},""bbox"":[105.288084898,28.1648274888,110.191811602,32.2014508667]}],""bbox"":[105.288084898,28.1648274888,110.191811602,32.2014508667]}"
4,Fujian,Mainland China,26.0789,117.9874,,,,Asia,"{""geocoding"":{""version"":""0.2"",""attribution"":""https://geocode.earth/guidelines"",""query"":{""layers"":[""continent"",""empire"",""country"",""dependency"",""macroregion"",""region"",""locality"",""localadmin"",""macrocounty"",""county"",""macrohood"",""borough"",""neighbourhood"",""microhood"",""disputed"",""postalcode"",""ocean"",""marinearea""],""size"":10,""private"":false,""point.lat"":26.0789,""point.lon"":117.9874,""boundary.circle.lat"":26.0789,""boundary.circle.lon"":117.9874,""lang"":{""name"":""English"",""iso6391"":""en"",""iso6393"":""eng"",""defaulted"":true},""querySize"":20},""engine"":{""name"":""Pelias"",""author"":""Mapzen"",""version"":""1.0""},""timestamp"":1583412448541},""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[117.397352,26.299433]},""properties"":{""id"":""890516573"",""gid"":""whosonfirst:county:890516573"",""layer"":""county"",""source"":""whosonfirst"",""source_id"":""890516573"",""name"":""Sanming"",""confidence"":0.5,""distance"":63.849,""accuracy"":""centroid"",""country"":""China"",""country_gid"":""whosonfirst:country:85632695"",""country_a"":""CHN"",""region"":""Fujian"",""region_gid"":""whosonfirst:region:85669735"",""region_a"":""FJ"",""county"":""Sanming"",""county_gid"":""whosonfirst:county:890516573"",""county_a"":""SM"",""continent"":""Asia"",""continent_gid"":""whosonfirst:continent:102191569"",""label"":""Sanming, China""},""bbox"":[116.38194186,25.485831403,118.668439564,27.1313448074]}],""bbox"":[116.38194186,25.485831403,118.668439564,27.1313448074]}"
5,Gansu,Mainland China,36.0611,103.8343,,,,Asia,"{""geocoding"":{""version"":""0.2"",""attribution"":""https://geocode.earth/guidelines"",""query"":{""layers"":[""continent"",""empire"",""country"",""dependency"",""macroregion"",""region"",""locality"",""localadmin"",""macrocounty"",""county"",""macrohood"",""borough"",""neighbourhood"",""microhood"",""disputed"",""postalcode"",""ocean"",""marinearea""],""size"":10,""private"":false,""point.lat"":36.0611,""point.lon"":103.8343,""boundary.circle.lat"":36.0611,""boundary.circle.lon"":103.8343,""lang"":{""name"":""English"",""iso6391"":""en"",""iso6393"":""eng"",""defaulted"":true},""querySize"":20},""engine"":{""name"":""Pelias"",""author"":""Mapzen"",""version"":""1.0""},""timestamp"":1583412449112},""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[103.817691,36.057526]},""properties"":{""id"":""102027397"",""gid"":""whosonfirst:locality:102027397"",""layer"":""locality"",""source"":""whosonfirst"",""source_id"":""102027397"",""name"":""Lanzhou"",""confidence"":0.5,""distance"":1.547,""accuracy"":""centroid"",""country"":""China"",""country_gid"":""whosonfirst:country:85632695"",""country_a"":""CHN"",""region"":""Gansu"",""region_gid"":""whosonfirst:region:85669711"",""region_a"":""GS"",""county"":""Lanzhou"",""county_gid"":""whosonfirst:county:890513013"",""county_a"":""LZ"",""locality"":""Lanzhou"",""locality_gid"":""whosonfirst:locality:102027397"",""continent"":""Asia"",""continent_gid"":""whosonfirst:continent:102191569"",""label"":""Lanzhou, China""},""bbox"":[103.276851001,35.8043430682,104.29878824,36.1690645197]}],""bbox"":[103.276851001,35.8043430682,104.29878824,36.1690645197]}"
6,Guangdong,Mainland China,23.3417,113.4244,,,,Asia,"{""geocoding"":{""version"":""0.2"",""attribution"":""https://geocode.earth/guidelines"",""query"":{""layers"":[""continent"",""empire"",""country"",""dependency"",""macroregion"",""region"",""locality"",""localadmin"",""macrocounty"",""county"",""macrohood"",""borough"",""neighbourhood"",""microhood"",""disputed"",""postalcode"",""ocean"",""marinearea""],""size"":10,""private"":false,""point.lat"":23.3417,""point.lon"":113.4244,""boundary.circle.lat"":23.3417,""boundary.circle.lon"":113.4244,""lang"":{""name"":""English"",""iso6391"":""en"",""iso6393"":""eng"",""defaulted"":true},""querySize"":20},""engine"":{""name"":""Pelias"",""author"":""Mapzen"",""version"":""1.0""},""timestamp"":1583412449665},""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[113.532735,23.368599]},""properties"":{""id"":""890513087"",""gid"":""whosonfirst:county:890513087"",""layer"":""county"",""source"":""whosonfirst"",""source_id"":""890513087"",""name"":""Guangzhou"",""confidence"":0.5,""distance"":11.469,""accuracy"":""centroid"",""country"":""China"",""country_gid"":""whosonfirst:country:85632695"",""country_a"":""CHN"",""region"":""Guangdong"",""region_gid"":""whosonfirst:region:85669743"",""region_a"":""GD"",""county"":""Guangzhou"",""county_gid"":""whosonfirst:county:890513087"",""county_a"":""GZ"",""continent"":""Asia"",""continent_gid"":""whosonfirst:continent:102191569"",""label"":""Guangzhou, China""},""bbox"":[112.963685429,22.60194397,114.051697755,23.9309913201]}],""bbox"":[112.963685429,22.60194397,114.051697755,23.9309913201]}"
7,Guangxi,Mainland China,23.8298,108.7881,,,,Asia,"{""geocoding"":{""version"":""0.2"",""attribution"":""https://geocode.earth/guidelines"",""query"":{""layers"":[""continent"",""empire"",""country"",""dependency"",""macroregion"",""region"",""locality"",""localadmin"",""macrocounty"",""county"",""macrohood"",""borough"",""neighbourhood"",""microhood"",""disputed"",""postalcode"",""ocean"",""marinearea""],""size"":10,""private"":false,""point.lat"":23.8298,""point.lon"":108.7881,""boundary.circle.lat"":23.8298,""boundary.circle.lon"":108.7881,""lang"":{""name"":""English"",""iso6391"":""en"",""iso6393"":""eng"",""defaulted"":true},""querySize"":20},""engine"":{""name"":""Pelias"",""author"":""Mapzen"",""version"":""1.0""},""timestamp"":1583412450228},""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[109.412397,23.854594]},""properties"":{""id"":""1108732439"",""gid"":""whosonfirst:county:1108732439"",""layer"":""county"",""source"":""whosonfirst"",""source_id"":""1108732439"",""name"":""Laibin"",""confidence"":0.5,""distance"":63.626,""accuracy"":""centroid"",""country"":""China"",""country_gid"":""whosonfirst:country:85632695"",""country_a"":""CHN"",""region"":""Guangxi Zhuang"",""region_gid"":""whosonfirst:region:85669717"",""region_a"":""GX"",""county"":""Laibin"",""county_gid"":""whosonfirst:county:1108732439"",""continent"":""Asia"",""continent_gid"":""whosonfirst:continent:102191569"",""label"":""Laibin, China""},""bbox"":[108.418620861,23.2761362543,110.45266009,24.467736178]}],""bbox"":[108.418620861,23.2761362543,110.45266009,24.467736178]}"
8,Guizhou,Mainland China,26.8154,106.8748,,,,Asia,"{""geocoding"":{""version"":""0.2"",""attribution"":""https://geocode.earth/guidelines"",""query"":{""layers"":[""continent"",""empire"",""country"",""dependency"",""macroregion"",""region"",""locality"",""localadmin"",""macrocounty"",""county"",""macrohood"",""borough"",""neighbourhood"",""microhood"",""disputed"",""postalcode"",""ocean"",""marinearea""],""size"":10,""private"":false,""point.lat"":26.8154,""point.lon"":106.8748,""boundary.circle.lat"":26.8154,""boundary.circle.lon"":106.8748,""lang"":{""name"":""English"",""iso6391"":""en"",""iso6393"":""eng"",""defaulted"":true},""querySize"":20},""engine"":{""name"":""Pelias"",""author"":""Mapzen"",""version"":""1.0""},""timestamp"":1583412450790},""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[106.706547,26.841455]},""properties"":{""id"":""890516581"",""gid"":""whosonfirst:county:890516581"",""layer"":""county"",""source"":""whosonfirst"",""source_id"":""890516581"",""name"":""Guiyang"",""confidence"":0.5,""distance"":16.964,""accuracy"":""centroid"",""country"":""China"",""country_gid"":""whosonfirst:country:85632695"",""country_a"":""CHN"",""region"":""Guizhou"",""region_gid"":""whosonfirst:region:85669721"",""region_a"":""GZ"",""county"":""Guiyang"",""county_gid"":""whosonfirst:county:890516581"",""county_a"":""GY"",""continent"":""Asia"",""continent_gid"":""whosonfirst:continent:102191569"",""label"":""Guiyang, China""},""bbox"":[106.121354873,26.1876915623,107.274623647,27.3594051036]}],""bbox"":[106.121354873,26.1876915623,107.274623647,27.3594051036]}"
9,Hainan,Mainland China,19.1959,109.7453,,,,Asia,"{""geocoding"":{""version"":""0.2"",""attribution"":""https://geocode.earth/guidelines"",""query"":{""layers"":[""continent"",""empire"",""country"",""dependency"",""macroregion"",""region"",""locality"",""localadmin"",""macrocounty"",""county"",""macrohood"",""borough"",""neighbourhood"",""microhood"",""disputed"",""postalcode"",""ocean"",""marinearea""],""size"":10,""private"":false,""point.lat"":19.1959,""point.lon"":109.7453,""boundary.circle.lat"":19.1959,""boundary.circle.lon"":109.7453,""lang"":{""name"":""English"",""iso6391"":""en"",""iso6393"":""eng"",""defaulted"":true},""querySize"":20},""engine"":{""name"":""Pelias"",""author"":""Mapzen"",""version"":""1.0""},""timestamp"":1583412451356},""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[109.85085,19.035628]},""properties"":{""id"":""1108732477"",""gid"":""whosonfirst:county:1108732477"",""layer"":""county"",""source"":""whosonfirst"",""source_id"":""1108732477"",""name"":""Qiongzhong Li and Miao"",""confidence"":0.5,""distance"":21.013,""accuracy"":""centroid"",""country"":""China"",""country_gid"":""whosonfirst:country:85632695"",""country_a"":""CHN"",""region"":""Hainan"",""region_gid"":""whosonfirst:region:85669759"",""region_a"":""HA"",""county"":""Qiongzhong Li and Miao"",""county_gid"":""whosonfirst:county:1108732477"",""continent"":""Asia"",""continent_gid"":""whosonfirst:continent:102191569"",""label"":""Qiongzhong Li and Miao, China""},""bbox"":[109.520068115,18.7302368799,110.153896026,19.4163830749]}],""bbox"":[109.520068115,18.7302368799,110.153896026,19.4163830749]}"
10,Hebei,Mainland China,38.0428,114.5149,,,,Asia,"{""geocoding"":{""version"":""0.2"",""attribution"":""https://geocode.earth/guidelines"",""query"":{""layers"":[""continent"",""empire"",""country"",""dependency"",""macroregion"",""region"",""locality"",""localadmin"",""macrocounty"",""county"",""macrohood"",""borough"",""neighbourhood"",""microhood"",""disputed"",""postalcode"",""ocean"",""marinearea""],""size"":10,""private"":false,""point.lat"":38.0428,""point.lon"":114.5149,""boundary.circle.lat"":38.0428,""boundary.circle.lon"":114.5149,""lang"":{""name"":""English"",""iso6391"":""en"",""iso6393"":""eng"",""defaulted"":true},""querySize"":20},""engine"":{""name"":""Pelias"",""author"":""Mapzen"",""version"":""1.0""},""timestamp"":1583412451910},""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[114.505304,38.039172]},""properties"":{""id"":""102027161"",""gid"":""whosonfirst:locality:102027161"",""layer"":""locality"",""source"":""whosonfirst"",""source_id"":""102027161"",""name"":""Shijiazhuang"",""confidence"":0.6,""distance"":0.933,""accuracy"":""centroid"",""country"":""China"",""country_gid"":""whosonfirst:country:85632695"",""country_a"":""CHN"",""region"":""Hebei"",""region_gid"":""whosonfirst:region:85669797"",""region_a"":""HB"",""county"":""Shijiazhuang"",""county_gid"":""whosonfirst:county:890515171"",""county_a"":""SJ"",""locality"":""Shijiazhuang"",""locality_gid"":""whosonfirst:locality:102027161"",""continent"":""Asia"",""continent_gid"":""whosonfirst:continent:102191569"",""label"":""Shijiazhuang, China""},""bbox"":[114.438682619,37.9914866829,114.582310636,38.0960170409]}],""bbox"":[114.438682619,37.9914866829,114.582310636,38.0960170409]}"
